image_id,x_1,y_1,width,height
000009.jpg,600,274,343,475
000010.jpg,113,110,211,292
000014.jpg,110,122,234,324
000017.jpg,40,64,62,86
000018.jpg,140,84,195,270
000019.jpg,226,87,138,191
000022.jpg,130,33,114,158
000024.jpg,753,127,114,158
000026.jpg,59,45,107,148
000029.jpg,93,71,153,212
000031.jpg,70,94,283,392
000035.jpg,322,138,146,202
000040.jpg,91,87,166,230
000042.jpg,84,102,174,241
000043.jpg,133,62,133,184
000045.jpg,220,26,138,191
000046.jpg,134,65,99,137
000047.jpg,142,89,203,281
000054.jpg,876,228,224,310
000058.jpg,167,64,140,194
000063.jpg,1,58,91,126
000064.jpg,82,66,177,245
000066.jpg,29,39,57,79
000071.jpg,59,105,174,241
000073.jpg,145,50,161,223
000077.jpg,70,116,221,306
000079.jpg,57,47,221,306
000083.jpg,88,84,161,223
000084.jpg,99,48,117,162
000085.jpg,271,312,603,835
000086.jpg,856,226,317,439
000087.jpg,44,34,81,112
000088.jpg,52,112,278,385
000099.jpg,102,83,138,191
000101.jpg,74,45,91,126
000103.jpg,212,134,237,328
000106.jpg,245,187,203,281
000107.jpg,41,57,99,137
000108.jpg,217,86,187,259
000110.jpg,191,133,185,256
000112.jpg,115,65,109,151
000118.jpg,101,113,179,248
000121.jpg,261,117,296,410
000122.jpg,148,56,161,223
000126.jpg,241,68,205,284
000132.jpg,410,213,299,414
000133.jpg,221,69,161,223
000135.jpg,242,194,356,493
000139.jpg,47,31,91,126
000140.jpg,195,99,187,259
000141.jpg,111,45,91,126
000142.jpg,215,55,177,245
000143.jpg,29,96,291,403
000147.jpg,761,159,551,763
000152.jpg,50,75,224,310
000155.jpg,320,291,458,634
000156.jpg,40,89,257,356
000157.jpg,148,73,367,508
000161.jpg,192,98,268,371
000165.jpg,619,170,187,259
000168.jpg,531,363,634,878
000172.jpg,365,293,712,986
000173.jpg,109,77,120,166
000175.jpg,26,121,226,313
000176.jpg,118,60,156,216
000180.jpg,113,228,374,518
000183.jpg,148,143,242,335
000186.jpg,114,75,135,187
000196.jpg,48,66,296,402
000198.jpg,137,89,179,248
000200.jpg,68,49,195,270
000201.jpg,279,68,520,720
000203.jpg,124,85,231,320
000204.jpg,68,59,174,241
000207.jpg,184,36,143,198
000213.jpg,90,71,164,227
000214.jpg,97,98,195,270
000216.jpg,84,101,244,338
000218.jpg,132,101,177,245
000220.jpg,90,114,252,349
000222.jpg,431,119,135,187
000225.jpg,139,76,122,169
000236.jpg,111,67,96,133
000238.jpg,270,46,255,353
000239.jpg,879,903,1646,2279
000241.jpg,148,112,135,187
000244.jpg,148,26,107,148
000247.jpg,86,95,166,230
000249.jpg,196,81,130,180
000254.jpg,384,122,270,374
000258.jpg,591,121,263,364
000259.jpg,102,66,130,180
000262.jpg,297,39,78,108
000263.jpg,77,38,99,137
000267.jpg,188,245,694,961
000269.jpg,142,104,148,205
000273.jpg,76,70,257,356
000278.jpg,25,31,81,112
000279.jpg,8,41,153,212
000280.jpg,23,35,127,176
000285.jpg,107,25,185,256
000287.jpg,237,50,164,227
000288.jpg,41,40,88,122
000289.jpg,156,97,312,432
000290.jpg,146,37,216,299
000291.jpg,429,330,1482,2052
000296.jpg,108,69,164,227
000299.jpg,23,28,185,248
000301.jpg,96,69,185,256
000302.jpg,81,83,138,191
000303.jpg,205,69,166,230
000304.jpg,79,66,296,410
000305.jpg,98,141,211,292
000307.jpg,104,101,198,274
000312.jpg,91,110,198,274
000315.jpg,59,42,91,126
000322.jpg,63,80,159,220
000323.jpg,659,117,393,544
000325.jpg,76,51,127,176
000332.jpg,157,109,247,342
000334.jpg,150,61,203,281
000336.jpg,133,49,179,248
000337.jpg,141,155,257,356
000338.jpg,94,42,104,144
000341.jpg,74,111,268,371
000344.jpg,60,1,307,346
000349.jpg,84,67,120,166
000351.jpg,148,53,216,299
000356.jpg,376,58,218,302
000357.jpg,140,167,302,418
000359.jpg,77,89,203,281
000361.jpg,249,24,185,256
000362.jpg,84,72,234,324
000364.jpg,103,77,153,212
000365.jpg,44,112,291,403
000368.jpg,120,49,96,133
000369.jpg,46,51,109,151
000377.jpg,92,56,179,248
000382.jpg,74,51,143,198
000384.jpg,216,63,130,180
000387.jpg,133,98,101,140
000391.jpg,240,38,107,148
000394.jpg,152,74,138,191
000396.jpg,86,65,146,202
000398.jpg,51,67,255,314
000399.jpg,30,81,304,416
000412.jpg,104,62,237,328
000415.jpg,240,217,398,551
000420.jpg,146,75,146,202
000422.jpg,101,43,172,238
000423.jpg,69,63,190,263
000431.jpg,107,168,398,551
000432.jpg,273,286,387,536
000435.jpg,69,77,172,238
000436.jpg,97,78,169,234
000442.jpg,531,89,575,796
000446.jpg,48,125,237,328
000455.jpg,91,93,153,212
000458.jpg,73,158,151,209
000462.jpg,85,94,164,227
000463.jpg,179,28,101,140
000464.jpg,151,29,112,155
000466.jpg,90,118,177,245
000467.jpg,93,64,120,166
000470.jpg,103,19,99,137
000472.jpg,122,59,109,151
000475.jpg,189,3,190,263
000476.jpg,138,66,148,205
000480.jpg,98,47,187,259
000488.jpg,105,86,182,252
000489.jpg,114,112,234,324
000493.jpg,51,52,164,227
000494.jpg,195,92,286,396
000495.jpg,84,134,221,306
000496.jpg,117,75,96,133
000497.jpg,187,66,265,367
000499.jpg,144,42,138,191
000502.jpg,283,59,218,302
000503.jpg,228,91,369,511
000504.jpg,93,88,187,259
000505.jpg,56,51,211,292
000506.jpg,92,83,177,245
