image_id,lefteye_x,lefteye_y,righteye_x,righteye_y,nose_x,nose_y,leftmouth_x,leftmouth_y,rightmouth_x,rightmouth_y
000009.jpg,68,113,110,111,97,139,66,152,109,150
000010.jpg,68,111,108,112,89,136,70,151,107,151
000014.jpg,68,112,109,111,92,141,72,150,104,152
000017.jpg,67,112,109,113,86,138,67,150,111,151
000018.jpg,67,112,110,112,88,135,68,150,109,150
000019.jpg,68,111,108,112,88,134,73,152,104,151
000022.jpg,70,111,107,111,85,132,74,153,103,153
000024.jpg,67,111,109,113,84,123,72,149,106,152
000026.jpg,69,111,108,111,85,135,73,152,103,152
000029.jpg,69,111,108,111,91,129,70,151,107,152
000031.jpg,68,113,109,111,88,137,65,151,111,151
000035.jpg,69,111,108,111,88,135,73,152,104,152
000040.jpg,69,112,108,111,89,139,73,152,103,152
000042.jpg,68,112,109,112,92,138,68,152,109,150
000043.jpg,68,111,109,112,90,136,67,150,110,151
000045.jpg,69,112,108,111,86,140,68,151,108,152
000046.jpg,66,112,110,113,87,139,69,149,109,150
000047.jpg,68,112,109,112,88,135,72,151,105,152
000054.jpg,67,112,110,112,87,138,66,150,111,151
000058.jpg,68,112,109,112,89,132,73,152,104,150
000063.jpg,68,111,108,113,82,142,66,150,112,152
000064.jpg,68,111,108,112,88,132,71,151,106,152
000066.jpg,66,112,110,113,86,136,65,149,114,150
000071.jpg,68,111,109,113,85,138,71,151,108,151
000073.jpg,70,110,107,111,77,134,74,152,103,154
000077.jpg,68,111,109,112,83,138,69,150,109,152
000079.jpg,70,111,107,111,80,139,73,153,103,152
000083.jpg,68,112,109,112,87,138,69,150,108,152
000084.jpg,69,111,108,111,93,128,71,151,107,153
000085.jpg,68,111,108,112,85,139,72,150,107,152
000086.jpg,69,109,106,113,97,132,79,152,101,153
000087.jpg,69,112,108,112,93,140,66,152,111,151
000088.jpg,71,112,107,110,81,134,77,153,98,154
000099.jpg,68,112,109,112,90,138,66,151,111,150
000101.jpg,69,112,108,111,92,136,71,152,105,151
000103.jpg,70,111,107,111,92,131,74,153,103,153
000106.jpg,69,112,108,111,98,141,68,152,109,151
000107.jpg,67,112,110,112,89,137,67,150,110,150
000108.jpg,68,112,109,112,90,136,67,151,109,151
000110.jpg,66,113,111,112,86,142,65,150,111,149
000112.jpg,67,112,110,112,86,136,65,150,112,150
000118.jpg,69,113,109,111,97,143,69,153,107,150
000121.jpg,68,112,109,112,87,139,68,151,109,151
000122.jpg,68,112,109,112,86,137,67,151,110,151
000126.jpg,68,112,109,112,80,139,69,150,108,152
000132.jpg,68,111,109,112,84,138,68,150,110,152
000133.jpg,69,112,109,111,90,141,69,151,107,152
000135.jpg,70,112,108,110,93,141,67,151,108,153
000139.jpg,70,111,107,110,78,138,70,152,106,153
000140.jpg,70,111,107,111,93,134,72,152,104,153
000141.jpg,70,111,107,111,88,133,74,152,103,153
000142.jpg,70,111,107,111,90,137,74,153,102,153
000143.jpg,69,112,109,111,84,134,69,152,108,151
000147.jpg,69,111,108,111,89,133,75,151,102,152
000152.jpg,68,111,108,112,90,134,70,151,108,151
000155.jpg,67,111,109,113,86,143,67,151,111,150
000156.jpg,68,111,108,112,81,136,69,151,109,152
000157.jpg,69,111,108,111,89,132,73,152,104,151
000161.jpg,68,111,109,112,85,134,69,151,109,152
000165.jpg,71,111,106,110,92,134,74,154,102,153
000168.jpg,68,114,111,110,98,141,64,153,109,147
000172.jpg,70,112,108,110,82,134,70,153,105,152
000173.jpg,66,112,110,113,87,139,69,149,109,150
000175.jpg,68,111,108,113,81,143,69,149,110,153
000176.jpg,68,112,109,111,90,133,70,152,106,151
000180.jpg,68,111,109,113,86,137,72,151,106,151
000183.jpg,68,111,109,112,79,139,67,149,111,153
000186.jpg,71,112,107,110,77,135,72,152,103,154
000196.jpg,69,111,108,112,84,135,70,152,108,151
000198.jpg,69,111,108,112,93,138,72,152,105,151
000200.jpg,70,111,107,111,84,137,74,153,103,152
000201.jpg,69,112,108,111,85,133,73,153,104,151
000203.jpg,70,111,107,111,92,134,72,153,104,153
000204.jpg,68,112,109,111,85,136,66,151,110,151
000207.jpg,70,111,107,110,90,129,75,153,101,152
000213.jpg,69,111,108,111,89,137,72,152,106,153
000214.jpg,69,112,109,111,89,139,68,151,109,152
000216.jpg,69,111,108,111,88,137,74,152,103,152
000218.jpg,69,112,108,111,95,133,70,152,106,151
000220.jpg,71,111,107,110,96,137,73,154,102,153
000222.jpg,67,112,110,112,85,136,71,150,105,150
000225.jpg,65,111,110,114,85,145,68,148,112,150
000236.jpg,68,112,109,112,83,141,72,150,106,151
000238.jpg,69,110,108,112,96,131,75,151,103,152
000239.jpg,68,112,109,112,88,137,65,151,111,151
000241.jpg,69,112,108,111,96,132,69,153,108,150
000244.jpg,70,111,107,111,93,137,74,152,103,153
000247.jpg,67,111,109,112,83,139,67,150,110,151
000249.jpg,67,112,110,113,88,142,66,150,111,150
000254.jpg,67,112,109,112,89,136,65,151,112,150
000258.jpg,68,112,109,111,87,135,72,151,105,151
000259.jpg,71,112,107,110,92,138,70,153,104,152
000262.jpg,68,112,109,111,91,142,66,152,110,151
000263.jpg,69,111,108,112,89,135,73,152,104,151
000267.jpg,70,111,107,111,84,137,72,153,104,152
000269.jpg,68,111,109,112,82,137,69,150,108,152
000273.jpg,68,111,108,112,84,133,70,151,108,152
000278.jpg,69,112,109,111,89,136,70,152,106,151
000279.jpg,69,110,107,112,79,139,73,153,106,152
000280.jpg,69,112,108,111,86,130,72,152,104,152
000285.jpg,69,111,108,112,91,139,72,152,105,151
000287.jpg,70,111,107,111,93,135,75,153,102,152
000288.jpg,69,111,108,111,85,130,74,152,104,152
000289.jpg,70,111,107,111,84,137,72,153,105,153
000290.jpg,70,112,108,111,85,126,74,153,102,152
000291.jpg,70,111,107,111,87,134,72,154,105,153
000296.jpg,69,111,108,111,83,135,68,151,108,152
000299.jpg,68,112,109,112,87,137,69,150,108,152
000301.jpg,68,112,109,112,89,137,66,151,111,151
000302.jpg,67,112,110,112,90,139,69,150,108,150
000303.jpg,70,112,108,110,83,131,72,151,103,153
000304.jpg,70,110,107,111,93,134,74,154,103,152
000305.jpg,69,111,108,111,86,139,70,153,107,152
000307.jpg,69,111,108,112,89,138,73,151,104,152
000312.jpg,67,111,109,112,89,141,73,150,105,151
000315.jpg,69,110,107,112,89,132,76,153,102,152
000322.jpg,69,112,108,111,88,140,69,152,107,151
000323.jpg,70,113,108,110,83,128,70,153,105,151
000325.jpg,69,112,108,111,90,138,67,152,110,151
000332.jpg,70,111,107,111,91,132,73,152,104,152
000334.jpg,68,112,109,112,86,134,67,150,110,151
000336.jpg,67,113,110,112,88,129,67,150,109,150
000337.jpg,69,112,108,111,90,132,73,152,103,152
000338.jpg,69,112,108,111,83,129,73,153,103,151
000341.jpg,69,110,107,112,74,139,69,150,110,155
000344.jpg,68,111,109,112,89,126,73,151,105,151
000349.jpg,69,111,108,112,88,134,71,152,107,151
000351.jpg,71,112,107,110,82,133,73,154,102,152
000356.jpg,69,111,108,111,91,136,73,152,103,152
000357.jpg,68,111,109,112,87,142,66,151,111,151
000359.jpg,68,112,109,112,88,140,65,151,111,150
